agios_id,agios_amount,agios_date_ref,agios_operation_date,agios_label,agios_ref,matched,match_method,origine_id,origine_ref,origine_date_ref,origine_amount,origine_internal_number,customer_doc_number,simulated_agios,difference,is_total_match,match_failure_reason,checked_doc_numbers_count,no_tax_rows_docs_count,mismatch_docs_count,checked_doc_numbers,no_tax_rows_doc_numbers,mismatch_doc_details
225930,-1167.402,2025-09-01,2025-09-16,REMISE EFFET/ESCOMPTE AGENCE DU 01 09 2025,,True,customer_tax_matching,225772.0,,,73007.298,INT_B3302A47,BEB24000395,1147.386,20.016000000000076,False,,,,,,,
225984,-1784.06,2025-09-02,2025-09-23,REMISE EFFET/ESCOMPTE AGENCE DU 02 09 2025,,True,customer_tax_matching,225819.0,,,72886.1,INT_83D7DDE2,BEB24000391,1746.598,37.46199999999999,False,,,,,,,
225942,-4082.303,2025-09-03,2025-09-17,REMISE EFFET/ESCOMPTE AGENCE DU 03 09 2025,,True,customer_tax_matching,225830.0,,,162476.155,INT_537DE24A,BEB24000392,4017.435,64.86799999999994,False,,,,,,,
225940,-1362.043,2025-09-05,2025-09-17,REMISE EFFET/ESCOMPTE AGENCE DU 05 09 2025,,True,customer_tax_matching,225839.0,,,50611.934,INT_7EC0F3A8,BEB24000393,1347.792,14.250999999999976,False,,,,,,,
225983,-2807.195,2025-09-10,2025-09-23,REMISE EFFET/ESCOMPTE AGENCE DU 10 09 2025,,True,customer_tax_matching,225867.0,,,146066.187,INT_B9EE0605,BEB24000394,2738.836,68.35900000000038,False,,,,,,,
225985,-2576.998,2025-09-12,2025-09-23,REMISE EFFET/ESCOMPTE AGENCE DU 12 09 2025,,True,customer_tax_matching,225910.0,,,107217.91,INT_71209435,BEB24000412,2526.408,50.590000000000146,False,,,,,,,
226002,-7276.187,2025-09-15,2025-09-25,REMISE EFFET/ESCOMPTE AGENCE DU 15 09 2025,,True,customer_tax_matching,225921.0,,,358980.296,INT_54895107,BEB24000411,7135.198,140.98899999999958,False,,,,,,,
225766,-3314.174,2025-08-15,2025-09-01,REMISE EFFET/ESCOMPTE AGENCE DU 15 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-15,0.0,0.0,0.0,,,
225765,-6017.944,2025-08-15,2025-09-01,REMISE EFFET/ESCOMPTE AGENCE DU 15 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-15,0.0,0.0,0.0,,,
225771,-271.343,2025-08-18,2025-09-01,REMISE EFFET/ESCOMPTE AGENCE DU 18 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-18,0.0,0.0,0.0,,,
225769,-861.924,2025-08-18,2025-09-01,REMISE EFFET/ESCOMPTE AGENCE DU 18 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-18,0.0,0.0,0.0,,,
225767,-1929.211,2025-08-18,2025-09-01,REMISE EFFET/ESCOMPTE AGENCE DU 18 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-18,0.0,0.0,0.0,,,
225768,-6383.214,2025-08-18,2025-09-01,REMISE EFFET/ESCOMPTE AGENCE DU 18 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-18,0.0,0.0,0.0,,,
225818,-1780.414,2025-08-21,2025-09-02,REMISE EFFET/ESCOMPTE AGENCE DU 21 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-21,0.0,0.0,0.0,,,
225817,-4385.5,2025-08-25,2025-09-02,REMISE EFFET/ESCOMPTE AGENCE DU 25 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-25,0.0,0.0,0.0,,,
225870,-541.394,2025-08-28,2025-09-11,REMISE EFFET/ESCOMPTE AGENCE DU 28 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-28,0.0,0.0,0.0,,,
225872,-631.706,2025-08-28,2025-09-11,REMISE EFFET/ESCOMPTE AGENCE DU 28 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-28,0.0,0.0,0.0,,,
225868,-1780.929,2025-08-28,2025-09-11,REMISE EFFET/ESCOMPTE AGENCE DU 28 08 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-08-28,0.0,0.0,0.0,,,
225941,-2063.271,2025-09-05,2025-09-17,REMISE EFFET/ESCOMPTE AGENCE DU 05 09 2025,,False,,,,,,,,,,False,Could not find matching customer group within 5% tolerance (checked 3 doc_numbers),3.0,2.0,1.0,"BEB24000393,EFB250000654,BEB24000397","EFB250000654,BEB24000397",BEB24000393:sim=1347.79:bank=2063.27:diff=715.48:ratio=0.3468
225947,-3860.531,2025-09-08,2025-09-18,REMISE EFFET/ESCOMPTE AGENCE DU 08 09 2025,,False,,,,,,,,,,False,Could not find matching customer group within 5% tolerance (checked 1 doc_numbers),1.0,0.0,1.0,BEB24000396,,BEB24000396:sim=3583.33:bank=3860.53:diff=277.20:ratio=0.0718
226003,-1402.857,2025-09-15,2025-09-25,REMISE EFFET/ESCOMPTE AGENCE DU 15 09 2025,,False,,,,,,,,,,False,Could not find matching customer group within 5% tolerance (checked 3 doc_numbers),3.0,2.0,1.0,"BEB24000411,EFB250000667,EFB250000668","EFB250000667,EFB250000668",BEB24000411:sim=7135.20:bank=1402.86:diff=5732.34:ratio=4.0862
226004,-1112.345,2025-09-17,2025-09-25,REMISE EFFET/ESCOMPTE AGENCE DU 17 09 2025,,False,,,,,,,,,,False,No customer transactions found for date_ref=2025-09-17,0.0,0.0,0.0,,,
