bank_transaction_id,bank_operation_date,bank_amount,bank_ref,bank_payment_class,bank_label,customer_transaction_id,customer_accounting_date,customer_amount,customer_document_number,customer_external_doc_number,customer_payment_type,customer_description,score
75058,2025-01-20,7883.77,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,9208,2025-01-20,7883.77,BEB24000128,10155327894,CLT EFFET,Validation Effet escompté en Banque,80.0
75249,2025-02-03,-85764.228,10287801764,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 310125 LCN 10287801764,9292,2025-02-03,-85764.228,BVC250000145,10287201764,CLT EFFET,Valider Impayé via escompte,98.18181818181819
75324,2025-02-11,-28750.0,10155322171,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 100225 LCN 10155322171,9356,2025-02-11,-28750.0,BVC250000354,10155322171,CLT EFFET,Valider Impayé via escompte,100.0
75330,2025-02-11,-70134.839,10109491320,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 100225 LCN 10109491320,9375,2025-02-17,70134.839,BEB24000120,10155433042,CLT EFFET,Validation Effet escompté en Banque,76.0
75434,2025-02-21,-7000.0,10309251665,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 200225 LCN 10309251665,9379,2025-02-17,7000.0,BEB24000120,10155441384,CLT EFFET,Validation Effet escompté en Banque,80.66666666666667
75458,2025-02-25,-28750.0,10155322850,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 240225 LCN 10155322850,9441,2025-02-25,-28750.0,BVC250000355,10155322850,CLT EFFET,Valider Impayé via escompte,100.0
75540,2025-03-03,-28750.0,10155319843,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 280225 LCN 10155319843,9469,2025-03-03,-28750.0,BVC250000407,10155319843,CLT EFFET,Valider Impayé via escompte,100.0
75635,2025-03-11,-33100.0,10155346421,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 100325 LCN 10155346421,9540,2025-03-11,-33100.0,BVC250000427,10155346421,CLT EFFET,Valider Impayé via escompte,100.0
75677,2025-03-17,-28750.0,10155323238,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 140325 LCN 10155323238,9561,2025-03-17,-28750.0,BVC250000410,10155323238,CLT EFFET,Valider Impayé via escompte,100.0
75690,2025-03-18,-18719.325,10109449804,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 160325 LCN 10109449804,9620,2025-03-24,18719.325,BEB24000204,1,CLT EFFET,Validation Effet escompté en Banque,84.0
75693,2025-03-18,-33100.0,10155346518,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 170325 LCN 10155346518,9586,2025-03-18,-33100.0,BVC250000428,10155346518,CLT EFFET,Valider Impayé via escompte,100.0
75740,2025-03-24,18719.325,,CLT EFFET,PAYEMENT EFFET/ENCAISSEMENT LCN 010109449707,9620,2025-03-24,18719.325,BEB24000204,1,CLT EFFET,Validation Effet escompté en Banque,100.0
75847,2025-04-03,-33100.0,10155346712,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 310325 LCN 10155346712,9674,2025-04-03,-33100.0,BVC250000429,10155346809,CLT EFFET,Valider Impayé via escompte,100.0
75853,2025-04-03,-10000.0,10287817866,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 300325 LCN 10287817866,9679,2025-04-03,-10000.0,BVC250000571,10287817866,CLT EFFET,Valider Impayé via escompte,100.0
75957,2025-04-21,35283.235,,CLT EFFET,PAYEMENT EFFET/ENCAISSEMENT LCN 010155440802,9789,2025-04-21,35283.235,BEB24000211,10155440802,CLT EFFET,Validation Effet escompté en Banque,80.0
75985,2025-04-22,-7000.0,10309251859,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 200425 LCN 10309251859,9862,2025-04-30,7000.0,BEB24000221,10396930935,CLT EFFET,Validation Effet escompté en Banque,77.33333333333334
76009,2025-04-28,-23283.343,10287818060,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 250425 LCN 10287818060,9814,2025-04-28,-23283.343,BVC250000573,10287818060,CLT EFFET,Valider Impayé via escompte,100.0
76011,2025-04-28,11308.708,009914970721,CLT EFFET,PAYEMENT EFFET/ENCAISSEMENT LCN 009914970721,9812,2025-04-28,11308.708,BEB24000214,9914970721,CLT EFFET,Validation Effet escompté en Banque,100.0
75101,2025-01-21,-28750.0,10155321395,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 200125 LCN 10155321395,9218,2025-01-21,-28750.0,BVC250000205,10155321395,CLT EFFET,Valider Impayé via escompte,100.0
75192,2025-01-28,-19564.669,10287816411,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 270125 LCN 10287816411,9270,2025-01-28,-19564.669,BVC250000114,10287816411,CLT EFFET,Valider Impayé via escompte,100.0
75552,2025-03-03,-33100.0,10155346906,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 280225 LCN 10155346906,9470,2025-03-03,-33100.0,BVC250000426,10155346906,CLT EFFET,Valider Impayé via escompte,100.0
75631,2025-03-10,-28750.0,10155323044,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 070325 LCN 10155323044,9539,2025-03-10,-28750.0,BVC250000409,10155323044,CLT EFFET,Valider Impayé via escompte,100.0
75746,2025-03-25,-33100.0,10155346809,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 240325 LCN 10155346809,9619,2025-03-24,-33100.0,BVC250000430,10155346712,CLT EFFET,Valider Impayé via escompte,98.0
75882,2025-04-08,-16086.758,10396906394,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 070425 LCN 10396906394,9698,2025-04-08,-16086.758,BVC250000572,10396906394,CLT EFFET,Valider Impayé via escompte,100.0
76504,2025-06-27,11937.8,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,10132,2025-06-27,11937.8,BEB24000296,10816986525,CLT EFFET,Validation Effet escompté en Banque,80.0
