bank_transaction_id,bank_operation_date,bank_amount,bank_ref,bank_payment_class,bank_label,customer_transaction_id,customer_accounting_date,customer_total_amount,customer_document_number,customer_external_doc_number,customer_payment_type,customer_description,score
75009,2025-01-13,342783.739,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,9131,2025-01-13,342783.739,BEB24000096,10155409180,CLT EFFET,Validation Effet escompté en Banque,85.0
75056,2025-01-17,-18719.325,10109449610,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 160125 LCN 10109449610,9620,2025-03-24,18719.325,BEB24000204,1,CLT EFFET,Validation Effet escompté en Banque,75.0
75058,2025-01-20,7883.77,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,9208,2025-01-20,7883.77,BEB24000128,10155327894,CLT EFFET,Validation Effet escompté en Banque,85.0
75151,2025-01-27,143707.915,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,9247,2025-01-27,143707.915,BEB24000130,10155428580,CLT EFFET,Validation Effet escompté en Banque,85.0
75249,2025-02-03,-85764.228,10287801764,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 310125 LCN 10287801764,9292,2025-02-03,-85764.228,BVC250000145,10287201764,CLT EFFET,Valider Impayé via escompte,98.63636363636364
75256,2025-02-03,52816.922,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,9294,2025-02-03,52816.922,BEB24000135,10155428774,CLT EFFET,Validation Effet escompté en Banque,85.0
75324,2025-02-11,-28750.0,10155322171,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 100225 LCN 10155322171,9356,2025-02-11,-28750.0,BVC250000354,10155322171,CLT EFFET,Valider Impayé via escompte,100.0
75458,2025-02-25,-28750.0,10155322850,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 240225 LCN 10155322850,9441,2025-02-25,-28750.0,BVC250000355,10155322850,CLT EFFET,Valider Impayé via escompte,100.0
75540,2025-03-03,-28750.0,10155319843,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 280225 LCN 10155319843,9469,2025-03-03,-28750.0,BVC250000407,10155319843,CLT EFFET,Valider Impayé via escompte,100.0
75594,2025-03-05,155194.191,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,9509,2025-03-05,155194.191,BEB24000157,10155452345,CLT EFFET,Validation Effet escompté en Banque,85.0
75635,2025-03-11,-33100.0,10155346421,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 100325 LCN 10155346421,9540,2025-03-11,-33100.0,BVC250000427,10155346421,CLT EFFET,Valider Impayé via escompte,100.0
75677,2025-03-17,-28750.0,10155323238,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 140325 LCN 10155323238,9561,2025-03-17,-28750.0,BVC250000410,10155323238,CLT EFFET,Valider Impayé via escompte,100.0
75690,2025-03-18,-18719.325,10109449804,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 160325 LCN 10109449804,9620,2025-03-24,18719.325,BEB24000204,1,CLT EFFET,Validation Effet escompté en Banque,90.0
75693,2025-03-18,-33100.0,10155346518,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 170325 LCN 10155346518,9586,2025-03-18,-33100.0,BVC250000428,10155346518,CLT EFFET,Valider Impayé via escompte,100.0
75740,2025-03-24,18719.325,,CLT EFFET,PAYEMENT EFFET/ENCAISSEMENT LCN 010109449707,9620,2025-03-24,18719.325,BEB24000204,1,CLT EFFET,Validation Effet escompté en Banque,100.0
75768,2025-03-28,61734.653,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,9636,2025-03-28,61734.653,BEB24000183,10396945679,CLT EFFET,Validation Effet escompté en Banque,85.0
75847,2025-04-03,-33100.0,10155346712,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 310325 LCN 10155346712,9674,2025-04-03,-33100.0,BVC250000429,10155346809,CLT EFFET,Valider Impayé via escompte,100.0
75853,2025-04-03,-10000.0,10287817866,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 300325 LCN 10287817866,9679,2025-04-03,-10000.0,BVC250000571,10287817866,CLT EFFET,Valider Impayé via escompte,100.0
75857,2025-04-03,369567.861,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,9662,2025-04-03,369567.861,BEB24000193,9914964416,CLT EFFET,Validation Effet escompté en Banque,85.0
75884,2025-04-10,477220.288,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,9700,2025-04-10,477220.288,BEB24000206,9914969945,CLT EFFET,Validation Effet escompté en Banque,85.0
75957,2025-04-21,35283.235,,CLT EFFET,PAYEMENT EFFET/ENCAISSEMENT LCN 010155440802,9789,2025-04-21,35283.235,BEB24000211,10155440802,CLT EFFET,Validation Effet escompté en Banque,85.0
75958,2025-04-21,248008.293,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,9778,2025-04-21,248008.293,BEB24000210,9914965871,CLT EFFET,Validation Effet escompté en Banque,85.0
75994,2025-04-25,113710.578,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,9803,2025-04-25,113710.578,BEB24000215,10396924145,CLT EFFET,Validation Effet escompté en Banque,85.0
76009,2025-04-28,-23283.343,10287818060,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 250425 LCN 10287818060,9814,2025-04-28,-23283.343,BVC250000573,10287818060,CLT EFFET,Valider Impayé via escompte,100.0
76011,2025-04-28,11308.708,009914970721,CLT EFFET,PAYEMENT EFFET/ENCAISSEMENT LCN 009914970721,9812,2025-04-28,11308.708,BEB24000214,9914970721,CLT EFFET,Validation Effet escompté en Banque,100.0
76033,2025-04-30,95847.659,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,9847,2025-04-30,95847.659,BEB24000221,10396929771,CLT EFFET,Validation Effet escompté en Banque,85.0
76042,2025-05-02,346674.32,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,9873,2025-05-02,346674.32,EES250000201,10396979629,CLT EFFET,Validation Effet encaissé en Banque,85.0
76212,2025-05-19,-18719.325,10109450095,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 160525 LCN 10109450095,9620,2025-03-24,18719.325,BEB24000204,1,CLT EFFET,Validation Effet escompté en Banque,75.0
76421,2025-06-10,90706.947,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,10070,2025-06-10,90706.947,BEB24000297,10601127187,CLT EFFET,Validation Effet escompté en Banque,85.0
76422,2025-06-10,95242.61,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,10064,2025-06-10,95242.61,BEB24000293,10396670975,CLT EFFET,Validation Effet escompté en Banque,85.0
76433,2025-06-12,126417.118,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:4,10091,2025-06-12,126417.118,BEB24000271,10816989823,CLT EFFET,Validation Effet escompté en Banque,85.0
76532,2025-06-30,60816.411,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:4,10151,2025-06-30,60816.411,BEB24000295,10840073980,CLT EFFET,Validation Effet escompté en Banque,85.0
76533,2025-06-30,273631.428,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:3,10146,2025-06-30,273631.428,BEB24000294,10815201725,CLT EFFET,Validation Effet escompté en Banque,85.0
75019,2025-01-15,43248.105,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,9157,2025-01-15,43248.105,BEB24000129,10155408889,CLT EFFET,Validation Effet escompté en Banque,85.0
75059,2025-01-20,189083.936,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,9204,2025-01-20,189083.936,BEB24000127,10155334393,CLT EFFET,Validation Effet escompté en Banque,85.0
75101,2025-01-21,-28750.0,10155321395,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 200125 LCN 10155321395,9218,2025-01-21,-28750.0,BVC250000205,10155321395,CLT EFFET,Valider Impayé via escompte,100.0
75192,2025-01-28,-19564.669,10287816411,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 270125 LCN 10287816411,9270,2025-01-28,-19564.669,BVC250000114,10287816411,CLT EFFET,Valider Impayé via escompte,100.0
75257,2025-02-03,156262.211,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:2,9296,2025-02-03,156262.211,BEB24000136,10155417619,CLT EFFET,Validation Effet escompté en Banque,85.0
75403,2025-02-18,-18719.325,10109449707,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 160225 LCN 10109449707,9620,2025-03-24,18719.325,BEB24000204,1,CLT EFFET,Validation Effet escompté en Banque,75.0
