bank_transaction_id,bank_operation_date,bank_amount,bank_ref,bank_payment_class,bank_label,customer_transaction_id,customer_accounting_date,customer_amount,customer_document_number,customer_external_doc_number,customer_payment_type,customer_description,score
74937,2025-01-02,-10341.328,10109468428,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 311224 LCN 10109468428,9113,2025-01-06,12647.864,BEB24000085,10109499662,CLT EFFET,Validation Effet escompté en Banque,34.16666666666667
74940,2025-01-02,-40000.0,9958190817,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 311224 LCN 9958190817,9116,2025-01-06,8714.266,BEB24000085,9914947635,CLT EFFET,Validation Effet escompté en Banque,31.323529411764707
74943,2025-01-02,-27560.766,9914977026,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 311224 LCN 9914977026,9116,2025-01-06,8714.266,BEB24000085,9914947635,CLT EFFET,Validation Effet escompté en Banque,34.16666666666667
74959,2025-01-03,-19927.882,10109469689,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 020125 LCN 10109469689,9113,2025-01-06,12647.864,BEB24000085,10109499662,CLT EFFET,Validation Effet escompté en Banque,38.13157894736842
74985,2025-01-06,446797.866,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,9108,2025-01-06,44921.631,BEB24000085,10155414127,CLT EFFET,Validation Effet escompté en Banque,30.0
74988,2025-01-07,-39726.837,9914981391,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 050125 LCN 9914981391,9116,2025-01-06,8714.266,BEB24000085,9914947635,CLT EFFET,Validation Effet escompté en Banque,38.5
75008,2025-01-13,-18766.609,10031573160,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 100125 LCN 10031573160,9140,2025-01-13,47043.38,BEB24000096,10203881147,CLT EFFET,Validation Effet escompté en Banque,40.0
75009,2025-01-13,342783.739,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,9131,2025-01-13,87672.201,BEB24000096,10155409180,CLT EFFET,Validation Effet escompté en Banque,30.0
75046,2025-01-16,-40000.0,9958190720,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 150125 LCN 9958190720,9133,2025-01-13,7000.0,BEB24000096,10309251762,CLT EFFET,Validation Effet escompté en Banque,34.32352941176471
75104,2025-01-21,-18766.609,10031573257,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 200125 LCN 10031573257,9218,2025-01-21,-28750.0,BVC250000205,10155321395,CLT EFFET,Valider Impayé via escompte,40.0
75138,2025-01-24,-39986.598,9914956268,CLT EFFET,REPRISE ESCOMPTE EFFET REJETE 150125 LCN 9914956268,9250,2025-01-27,4394.98,BEB24000130,9914947732,CLT EFFET,Validation Effet escompté en Banque,35.5
75151,2025-01-27,143707.915,,CLT EFFET,REMISE EFFETS/ESCOMPTE AGENCE REMISE N:1,9247,2025-01-27,26408.461,BEB24000130,10155428580,CLT EFFET,Validation Effet escompté en Banque,30.0
